#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60  32
# Band-Index    1
   2.54072     10.766700     10.766177
   2.62847     10.047375     10.046867
   2.71622      9.341877      9.341379
   2.80397      8.664814      8.664323
   2.89172      8.024522      8.024038
   2.97947      7.425949      7.425469
   3.06722      7.634554      7.634152
   3.15496      8.295707      8.295344
   3.24271      8.954053      8.953729
   3.33046      9.592335      9.592047
   3.41821     10.193517     10.193263
   3.50596     10.739470     10.739248
   3.59371     10.654923     10.654645
   3.68146     10.572761     10.572406
   3.76921     10.505959     10.505517
   3.85695     10.449343     10.448837
   3.94470     10.423523     10.422997
 
# Band-Index   12
   3.94470     10.978744     10.978693
   3.85695     10.966275     10.966224
   3.76921     10.937273     10.937218
   3.68146     10.911351     10.911291
   3.59371     10.908935     10.908868
   3.50596     10.765059     10.764841
   3.41821     10.913883     10.913706
   3.33046     11.108868     11.108720
   3.24271     11.352403     11.352307
   3.15496     11.588111     11.588007
   3.06722     11.864636     11.864521
   2.97947     12.170370     12.170242
   2.89172     12.193901     12.193648
   2.80397     12.060744     12.060464
   2.71622     11.822089     11.821771
   2.62847     11.515388     11.515035
   2.54072     11.198325     11.197946
   2.45297     11.471386     11.470843
   2.36522     12.103466     12.102893
   2.27748     12.540911     12.540321
   2.27748     12.540911     12.540321
   2.23360     12.391219     12.390621
   2.18973     12.227206     12.226605
   2.14585     12.049228     12.048627
   2.10198     11.857182     11.856587
   2.05810     11.650839     11.650253
   2.01423     11.429664     11.429092
   1.97035     11.562528     11.562168
   1.92648     11.812052     11.811710
   1.88261     11.596708     11.596447
   1.83873     11.240384     11.240135
   1.79486     10.894790     10.894546
   1.75098     10.569095     10.568851
   1.70711     10.270814     10.270570
   1.66323     10.006327     10.006081
   1.61936      9.781356      9.781108
   1.57548      9.600769      9.600519
   1.53161      9.468642      9.468391
   1.48774      9.388107      9.387854
   1.44386      9.361029      9.360776
   1.44386      9.361029      9.360776
   1.36787      9.367100      9.366847
   1.29188      9.385253      9.385001
   1.21588      9.415401      9.415150
   1.13989      9.457394      9.457146
   1.06390      9.511004      9.510759
   0.98791      9.575867      9.575625
   0.91191      9.651651      9.651414
   0.83592      9.737633      9.737401
   0.75993      9.832699      9.832471
   0.68393      9.935745      9.935522
   0.60794     10.044519     10.044300
   0.53195     10.156099     10.155881
   0.45596     10.625376     10.625146
   0.37996     10.824583     10.824514
   0.30397     10.877866     10.877804
   0.22798     10.920288     10.920231
   0.15199     10.950445     10.950390
   0.07599     10.970143     10.970091
   0.00000     10.978744     10.978693
 
# Band-Index   13
   0.00000     10.978769     10.978719
   0.07599     11.021623     11.021560
   0.15199     11.062141     11.062013
   0.22798     11.179926     11.179687
   0.30397     11.398054     11.397721
   0.37996     11.060600     11.060397
   0.45596     10.763883     10.763803
   0.53195     10.699127     10.699036
   0.60794     10.634165     10.634062
   0.68393     10.572251     10.572136
   0.75993     10.517590     10.517462
   0.83592     10.474798     10.474658
   0.91191     10.449812     10.449659
   0.98791     10.451430     10.451263
   1.06390     10.492411     10.492226
   1.13989     10.592935     10.592724
   1.21588     10.777699     10.777454
   1.29188     11.063731     11.063447
   1.36787     11.427957     11.427641
   1.44386     11.675325     11.675005
   1.44386     11.675325     11.675005
   1.48774     11.680331     11.680011
   1.53161     11.695068     11.694748
   1.57548     11.719726     11.719405
   1.61936     11.754090     11.753768
   1.66323     11.797678     11.797354
   1.70711     11.850430     11.850104
   1.75098     11.911854     11.911527
   1.79486     11.981564     11.981236
   1.83873     12.059046     12.058718
   1.88261     12.077300     12.076977
   1.92648     11.949735     11.949436
   1.97035     12.244744     12.244306
   2.01423     12.382750     12.382304
   2.05810     12.478736     12.478290
   2.10198     12.561482     12.561020
   2.14585     12.626376     12.625885
   2.18973     12.659636     12.659107
   2.23360     12.639319     12.638750
   2.27748     12.540919     12.540328
   2.27748     12.540919     12.540328
   2.36522     12.792862     12.792294
   2.45297     12.972359     12.971822
   2.54072     13.069558     13.069055
   2.62847     13.082727     13.082255
   2.71622     13.019557     13.019111
   2.80397     12.797533     12.797369
   2.89172     12.489206     12.489061
   2.97947     12.233403     12.233158
   3.06722     12.001159     12.001052
   3.15496     11.651766     11.651650
   3.24271     11.354288     11.354159
   3.33046     11.164753     11.164666
   3.41821     11.028851     11.028771
   3.50596     10.945038     10.944964
   3.59371     11.212448     11.212254
   3.68146     11.128156     11.127966
   3.76921     11.061808     11.061688
   3.85695     11.024279     11.024213
   3.94470     10.978769     10.978719
 
# Band-Index   14
   3.94470     11.012742     11.012694
   3.85695     11.061215     11.061161
   3.76921     11.318130     11.318084
   3.68146     11.597110     11.596939
   3.59371     11.225393     11.225135
   3.50596     11.353348     11.353033
   3.41821     11.509205     11.508848
